week_label,名前,武勲,勢力値
8/24〜,零度Niu,431000,28224
8/24〜,トラ0713,430000,30907
8/24〜,NAGOYA,422000,30233
8/24〜,ゾウどうぞ,419000,25511
8/24〜,☆去亥☆,404000,36400
8/24〜,ココ壱5辛,399000,30037
8/24〜,浪子｜朝日,396000,34200
8/24〜,クロネコさん,391000,25083
8/24〜,しみ犬,385000,28935
8/24〜,拉麺,369000,22856
8/24〜,さら猫,363000,27632
8/24〜,真田丸☆,357000,25886
8/24〜,まりもX,354000,27962
8/24〜,王騎大将軍✦,352000,27868
8/24〜,カム犬,350000,29651
8/24〜,浪子｜志村,348000,32596
8/24〜,浪子｜教士,345000,40504
8/24〜,ゆう,342000,31472
8/24〜,アイーン,340000,34701
8/24〜,パープル☆,325000,27653
8/24〜,荊州軍,323000,31371
8/24〜,浪子｜無涯,320000,28032
8/24〜,猫ロック,317000,32643
8/24〜,瑕丘鄭重,314000,29613
8/24〜,浪子｜11,311000,25398
8/24〜,LEE,311000,31150
8/24〜,超人血盟軍,306000,30163
8/24〜,浪子｜大黄螺旋丸,303000,29858
8/24〜,HANABI,301000,30198
8/24〜,朝倉,293000,26135
8/24〜,MOTO,292000,28549
8/24〜,くんちゃん,288000,28599
8/24〜,ごこっと,280000,29908
8/24〜,浪子｜嚕嚕米,277000,20258
8/24〜,ロドリゲス,275000,31100
8/24〜,えりす,271000,29416
8/24〜,カバオ卍,271000,27209
8/24〜,浪子｜貓侍,271000,30786
8/24〜,やま,269000,34215
8/24〜,大地の子,267000,26527
8/24〜,ヴぇぼ,266000,25766
8/24〜,りょうしゅん,265000,24564
8/24〜,コシヨシ,261000,30722
8/24〜,浪子｜影子,258000,26637
8/24〜,李★漂,258000,29853
8/24〜,海峡のジンベエ,254000,24366
8/24〜,佐々鬼,252000,27045
8/24〜,はま爺,252000,29253
8/24〜,メイプル,250000,27109
8/24〜,マサイ,243000,24686
8/24〜,反社エネわん,242000,23460
8/24〜,シュガー,241000,29397
8/24〜,潯陽曹仁,236000,30550
8/24〜,ハッチ88,235000,26625
8/24〜,極悪の仏,233000,21917
8/24〜,アキ♪♪,233000,24764
8/24〜,ほむれず,230000,23854
8/24〜,つっg,228000,23043
8/24〜,イニミニ,227000,22870
8/24〜,浪子｜六月,226000,36152
8/24〜,モジャ,224000,29627
8/24〜,†鬼〆宗†,223000,21795
8/24〜,タロマス,220000,26046
8/24〜,ボロ雑巾,220000,24014
8/24〜,たけとも33,219000,18657
8/24〜,極悪ボンⒸ,217000,26676
8/24〜,からあげクン,216000,11554
8/24〜,✖李信,216000,25712
8/24〜,桃梨,213000,23145
8/24〜,空kou,209000,25139
8/24〜,虎の太公望,205000,17209
8/24〜,ぞおき,204000,18268
8/24〜,トムトム,201000,25906
8/24〜,ジョーサブ,199000,26989
8/24〜,まるぞう,197000,31854
8/24〜,～凛～,195000,28681
8/24〜,han,192000,26448
8/24〜,ベニマル,187000,28208
8/24〜,浪子｜潮男,184000,19393
8/24〜,片栗粉u1,184000,27536
8/24〜,うみがめ座@,183000,25068
8/24〜,MARSAN,183000,26950
8/24〜,烏合の集まり,182000,25076
8/24〜,HIMURO,181000,28851
8/24〜,小竜,180000,27070
8/24〜,Ruu,180000,21098
8/24〜,仁義なきTUBE,180000,23717
8/24〜,極悪女帝リザ,179000,29962
8/24〜,草津温泉,174000,28887
8/24〜,nim0su,173000,22507
8/24〜,外様,171000,30990
8/24〜,浪子｜剣心,169000,28498
8/24〜,ワ-ドラ,169000,25763
8/24〜,RB20,169000,28104
8/24〜,あべゆういち,165000,28394
8/24〜,ナムナム,164000,25752
8/24〜,カナデ,163000,18523
8/24〜,パンダマン,163000,14442
8/24〜,よる★かぜ,163000,15649
8/24〜,ヤムヤム,162000,25415
8/24〜,くに,162000,26238
8/24〜,DOCTOR,161000,21324
8/24〜,滄浪｜虎賁,160000,25836
8/24〜,浪子｜大猩猩,159000,27662
8/24〜,MOTI,155000,15414
8/24〜,くまモン,155000,29598
8/24〜,アゲハたん★,153000,19046
8/24〜,餅,151000,25633
8/24〜,にゃんこ軍,144000,21249
8/24〜,ギリヤーク人,142000,30591
8/24〜,鷹布,142000,23075
8/24〜,ロストフ家,136000,30951
8/24〜,ワンパンダ,135000,14187
8/24〜,浪子｜氹仔,135000,26254
8/24〜,さすらい♪,134000,28435
8/24〜,すじまーん,131000,16887
8/24〜,敦犬,130000,20450
8/24〜,さしみ,126000,14650
8/24〜,成龍,125000,15825
8/24〜,劉邦軍,125000,28331
8/24〜,成龍.,125000,17419
8/24〜,ケムケム,122000,24859
8/24〜,浪子｜可倫堡,121000,30102
8/24〜,行雲流水,119000,25058
8/24〜,⚡SOU⚡,118000,25220
8/24〜,BARI,117000,28223
8/24〜,山本勘助,116000,24870
8/24〜,奈凡,116000,22619
8/24〜,テムテム,115000,25206
8/24〜,陽龍,113000,26112
8/24〜,シベリウス,111000,31166
8/24〜,河西虎su,110000,16778
8/24〜,パパパ,109000,24079
8/24〜,盟主の犬隊長,105000,20230
8/24〜,団長団,104000,22976
8/24〜,譙國征東軍,101000,27081
8/24〜,極悪剣心,99390,11271
